January of Years,NE Shelf,NE Deep
1991, 91.7, 36.3
1991, 90.9, 37.0
1991, 84.3, 35.9
1991, 79.2, 32.1
1991, 81.9, 34.8
1991, 84.8, 37.5
1992, 91.2, 49.6
1992, 91.0, 48.6
1992, 91.1, 47.8
1992, 92.1, 47.3
1992, 93.2, 49.6
1992, 94.0, 50.5
1992, 95.2, 50.7
1992, 96.4, 53.2
1992, 96.9, 55.4
1992, 93.1, 49.7
1992, 91.4, 44.6
1992, 94.1, 47.3
1992, 96.0, 47.4
1992, 93.8, 49.1
1992, 93.5, 49.9
1992, 94.1, 52.3
1992, 95.2, 53.3
1992, 94.9, 52.5
1992, 93.9, 52.0
1992, 86.4, 47.7
1992, 84.2, 49.1
1992, 78.5, 47.4
1992, 82.6, 50.5
1992, 85.6, 53.0
1992, 88.8, 57.1
1992, 91.1, 59.1
1992, 89.6, 58.4
1992, 86.9, 56.4
1992, 91.6, 57.5
1992, 89.9, 57.3
1992, 91.9, 58.1
1993, 88.7, 43.9
1993, 91.6, 46.8
1993, 93.1, 48.0
1993, 92.2, 44.0
1993, 91.2, 40.5
1993, 92.5, 40.7
1993, 92.4, 41.8
1993, 92.8, 42.9
1993, 92.4, 39.3
1993, 93.1, 39.2
1993, 93.2, 39.9
1993, 93.5, 38.6
1993, 94.5, 37.0
1993, 95.4, 38.5
1993, 94.5, 40.7
1993, 93.1, 40.5
1993, 94.6, 43.9
1993, 95.5, 46.0
1993, 95.3, 45.5
1993, 93.7, 44.5
1993, 94.3, 41.8
1993, 95.1, 44.4
1993, 92.6, 44.2
1993, 94.0, 44.0
1993, 95.0, 45.1
1993, 95.1, 46.3
1993, 96.1, 49.1
1993, 96.7, 49.8
1993, 96.1, 48.1
1993, 94.5, 46.9
1993, 91.5, 44.0
1994, 89.4, 33.3
1994, 90.0, 35.1
1994, 90.1, 34.4
1994, 90.4, 35.2
1994, 92.1, 36.5
1994, 91.9, 36.9
1994, 90.9, 36.5
1994, 91.8, 37.0
1994, 92.8, 36.1
1994, 93.0, 36.4
1994, 93.3, 38.6
1994, 94.1, 39.1
1994, 94.2, 40.3
1994, 94.1, 41.1
1994, 93.9, 41.6
1994, 93.3, 43.4
1994, 94.2, 44.9
1994, 95.8, 45.4
1994, 94.1, 40.2
1994, 93.8, 36.6
1994, 92.3, 33.9
1994, 89.8, 32.8
1994, 88.1, 31.6
1994, 89.4, 31.8
1994, 91.3, 32.9
1994, 90.9, 32.4
1994, 90.6, 32.6
1994, 89.8, 32.5
1994, 90.9, 32.1
1994, 90.5, 32.2
1994, 91.5, 33.2
1995, 95.8, 43.5
1995, 95.9, 44.9
1995, 96.1, 44.0
1995, 93.9, 39.1
1995, 92.3, 36.8
1995, 92.5, 36.2
1995, 93.9, 37.0
1995, 93.5, 37.1
1995, 93.6, 38.0
1995, 93.2, 36.4
1995, 93.6, 35.9
1995, 96.3, 38.7
1995, 93.8, 35.0
1995, 92.5, 33.4
1995, 92.8, 34.1
1995, 93.1, 36.0
1995, 92.9, 35.0
1995, 93.4, 35.5
1995, 93.2, 35.1
1995, 93.3, 32.5
1995, 93.5, 33.5
1995, 94.3, 33.6
1995, 94.9, 34.1
1995, 95.2, 34.7
1995, 94.4, 34.5
1995, 94.2, 34.0
1995, 94.6, 35.3
1995, 94.8, 35.6
1995, 94.8, 35.8
1995, 93.8, 37.3
1995, 93.4, 35.1
1996, 90.9, 59.7
1996, 92.1, 60.9
1996, 93.1, 59.7
1996, 94.1, 60.7
1996, 95.1, 61.5
1996, 95.5, 59.6
1996, 94.0, 56.1
1996, 94.8, 56.6
1996, 94.5, 57.6
1996, 94.5, 55.2
1996, 94.8, 54.1
1996, 94.5, 52.5
1996, 93.4, 52.3
1996, 94.5, 49.9
1996, 90.2, 44.4
1996, 86.9, 42.3
1996, 82.3, 43.0
1996, 75.4, 40.8
1996, 72.3, 38.3
1996, 76.4, 42.0
1996, 78.6, 46.6
1996, 75.2, 47.5
1996, 77.2, 48.6
1996, 81.6, 48.7
1996, 82.0, 50.0
1996, 82.7, 54.6
1996, 82.4, 55.2
1996, 82.8, 56.8
1996, 81.4, 56.0
1996, 82.3, 54.8
1996, 79.6, 54.5
1997, 88.9, 58.2
1997, 90.0, 59.8
1997, 91.3, 62.0
1997, 91.4, 63.0
